System id,Civil 3D element id,Arup reference ID
,654433,IT_SM:IT_SM-M:M1-J13-NB-RTS-BOL-BOL01
,654430,IT_SM:IT_SM-M:M1-J13-NB-RTS-BOL-BOL02
,654427,IT_SM:IT_SM-M:M1-J13-NB-RTS-BOL-BOL03
,754797,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL01
,754794,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL02
,754791,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL03
,754779,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL04
,754776,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL05
,754773,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL06
,575890,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL01
,575887,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL02
,575879,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL03
,575876,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL04
,575873,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL05
,575870,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL06
,575861,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL07
,651709,IT_SM:IT_SM-M:M1-SER-NB-RTS-BOL-BOL01
,651706,IT_SM:IT_SM-M:M1-SER-NB-RTS-BOL-BOL02
,651703,IT_SM:IT_SM-M:M1-SER-NB-RTS-BOL-BOL03
,651752,IT_SM:IT_SM-M:M1-SER-SB-RTS-BOL-BOL01
,"651758, 651761",IT_SM:IT_SM-M:M1-SER-SB-RTS-BOL-BOL02
,651773,IT_SM:IT_SM-M:M1-SER-SB-RTS-BOL-BOL03
,651776,IT_SM:IT_SM-M:M1-SER-SB-RTS-BOL-BOL04
,651779,IT_SM:IT_SM-M:M1-SER-SB-RTS-BOL-BOL05
,575893,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL01
,575896,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL02
,575899,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL03
,"754764, 568221",IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL01
,754767,IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL02
,754770,IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL03
,754782,IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL04
,754785,IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL05
,754788,IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL06
,654418,IT_SM:IT_SM-M:M1-J13-SB-RTS-BOL-BOL01
,654421,IT_SM:IT_SM-M:M1-J13-SB-RTS-BOL-BOL02
,654424,IT_SM:IT_SM-M:M1-J13-SB-RTS-BOL-BOL03
,588489,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL01
,588486,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL02
,588483,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL03
,588453,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL04
,588450,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL05
,588447,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL06
,581227,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL07
,581224,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL08
,581221,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL09
,581185,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL10
,581182,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL11
,581179,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL12
,581188,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL01
,581191,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL02
,581194,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL03
,581209,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL04
,581212,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL05
,581215,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL06
,588459,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL07
,588465,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL08
,588468,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL09
,588492,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL10
,588495,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL11
,588498,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL12
,765105,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL13
,765102,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL14
,765099,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL15
,765049,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL16
,765046,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL17
,765043,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL18
,765069,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL19
,765066,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL20
,765063,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL21
,765087,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL22
,765084,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL23
,765081,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL24
,568834,IT_SM:IT_SM-M:M1-J15-NB-RTS-BOL-BOL01
,568831,IT_SM:IT_SM-M:M1-J15-NB-RTS-BOL-BOL02
,568825,IT_SM:IT_SM-M:M1-J15-NB-RTS-BOL-BOL03
,568849,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL01
,568846,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL02
,568843,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL03
,568858,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL04
,568855,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL05
,568852,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL06
,568203,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL01
,568200,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL02
,568197,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL03
,568218,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL04
,568215,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL05
,568233,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL06
,568236,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL07
,568239,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL08
,568263,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL09
,568266,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL10
,568269,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL11
,760198,IT_SM:IT_SM-M:M1-J16-SB-RTS-BOL-BOL01
,760201,IT_SM:IT_SM-M:M1-J16-SB-RTS-BOL-BOL02
,760204,IT_SM:IT_SM-M:M1-J16-SB-RTS-BOL-BOL03
,568257,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL01
,568254,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL02
,568251,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL03
,568248,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL04
,568245,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL05
